"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|IE(SEM)","Without sequence","85.05","",""
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|IE(SEM)","Without sequence","85.05","",""
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|IE(SEM)","Without sequence","85.05","",""
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|IE(SEM)","Without sequence","85.05","",""
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|IE(SEM)","Without sequence","87.7","",""
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|IE(SEM)","Without sequence","110.57","",""
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|IE(SEM)","Without sequence","118.11","",""
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|IE(SEM)","Without sequence","110.31","",""
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|IE(SEM)","Without sequence","101.01","",""
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|IE(SEM)","Without sequence","97.34","",""
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|IE(SEM)","Without sequence","96.99","",""
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|IE(SEM)","Without sequence","98.11","",""
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|IE(SEM)","Without sequence","106.53","",""
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|IE(SEM)","Without sequence","122.7","",""
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|IE(SEM)","Without sequence","141.08","",""
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|IE(SEM)","Without sequence","146.53","",""
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|IE(SEM)","Without sequence","139.1","",""
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|IE(SEM)","Without sequence","123.21","",""
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|IE(SEM)","Without sequence","105.74","",""
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|IE(SEM)","Without sequence","96.11","",""
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|IE(SEM)","Without sequence","89.8","",""
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|IE(SEM)","Without sequence","82.5","",""
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|IE(SEM)","Without sequence","82.0","",""
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|IE(SEM)","Without sequence","82.14","",""
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|IE(SEM)","Without sequence","80.57","",""
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|IE(SEM)","Without sequence","81.44","",""
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|IE(SEM)","Without sequence","82.89","",""
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|IE(SEM)","Without sequence","83.0","",""
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|IE(SEM)","Without sequence","86.45","",""
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|IE(SEM)","Without sequence","113.91","",""
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|IE(SEM)","Without sequence","125.65","",""
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|IE(SEM)","Without sequence","123.96","",""
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|IE(SEM)","Without sequence","119.71","",""
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|IE(SEM)","Without sequence","115.55","",""
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|IE(SEM)","Without sequence","119.0","",""
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|IE(SEM)","Without sequence","122.5","",""
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|IE(SEM)","Without sequence","127.69","",""
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|IE(SEM)","Without sequence","141.2","",""
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|IE(SEM)","Without sequence","155.0","",""
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|IE(SEM)","Without sequence","184.83","",""
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|IE(SEM)","Without sequence","158.6","",""
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|IE(SEM)","Without sequence","129.5","",""
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|IE(SEM)","Without sequence","115.0","",""
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|IE(SEM)","Without sequence","103.8","",""
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|IE(SEM)","Without sequence","90.59","",""
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|IE(SEM)","Without sequence","88.96","",""
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|IE(SEM)","Without sequence","86.34","",""
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|IE(SEM)","Without sequence","86.84","",""
